key,key:leg,role,lastUpdate,status,key:member,remarks,draft_mode
##Member1 ariline00 aircraft01:
#Completed:
assignment-01,leg-35,CABIN_ATTENDANT,2024/12/31 00:00,CONFIRMED,member-01,,false
assignment-02,leg-36,LEAD_ATTENDANT,2019/01/10 00:00,CONFIRMED,member-01,Waiting for confirmation,false
assignment-03,leg-37,CABIN_ATTENDANT,2022/01/10 00:00,CANCELLED,member-01,Flight cancelled due to weather,false
assignment-04,leg-38,CABIN_ATTENDANT,2023/01/10 00:00,CONFIRMED,member-01,On standby,false
#Planned:
assignment-05,leg-45,PILOT,2023/05/15 12:30,PENDING,member-01,Flight reassigned to alternate crew,true
assignment-06,leg-46,CABIN_ATTENDANT,2021/08/21 14:00,PENDING,member-01,Pending final approval,true
assignment-07,leg-47,CO_PILOT,2020/06/11 08:45,PENDING,member-01,,true
assignment-08,leg-48,CABIN_ATTENDANT,2019/09/19 13:20,CONFIRMED,member-01,Awaiting clearance,false
##Member2 airline00 aircraft01:
#Completed:
assignment-09,leg-35,PILOT,2024/02/22 18:10,CANCELLED,member-02,Cancelled due to operational changes,false
assignment-10,leg-36,LEAD_ATTENDANT,2023/11/30 05:50,CONFIRMED,member-02,Standby for reassignment,false
assignment-11,leg-37,LEAD_ATTENDANT,2022/04/05 16:45,PENDING,member-02,Awaiting flight manifest updates,false
assignment-12,leg-38,PILOT,2023/07/07 09:10,CONFIRMED,member-02,,false
#Planned:
assignment-13,leg-46,LEAD_ATTENDANT,2021/12/14 11:35,CANCELLED,member-02,Cancelled due to maintenance issues,true
assignment-14,leg-47,CABIN_ATTENDANT,2020/01/25 22:00,PENDING,member-02,Pending crew scheduling confirmation,true
assignment-15,leg-48,LEAD_ATTENDANT,2024/03/17 07:25,CONFIRMED,member-02,Confirmed with minor changes to schedule,true
assignment-16,leg-49,CABIN_ATTENDANT,2023/09/09 10:00,PENDING,member-02,Backup crew assigned,false
##Member3 airline01 aircraft02:
#Completed:
assignment-17,leg-41,LEAD_ATTENDANT,2022/05/20 15:30,CONFIRMED,member-03,Pending weather updates,false
assignment-18,leg-42,LEAD_ATTENDANT,2024/01/05 06:00,CONFIRMED,member-03,,false
assignment-19,leg-43,LEAD_ATTENDANT,2018/11/11 19:45,CONFIRMED,member-03,Awaiting aircraft assignment,false
assignment-20,leg-44,CABIN_ATTENDANT,2021/03/29 21:10,CANCELLED,member-03,Cancelled due to crew illness,false
#Planned:
assignment-21,leg-57,LEAD_ATTENDANT,2022/07/15 17:55,CONFIRMED,member-03,Confirmed standby,true
assignment-22,leg-58,LEAD_ATTENDANT,2020/08/08 12:00,PENDING,member-03,Pending final briefing,true
assignment-23,leg-59,CABIN_ATTENDANT,2023/04/04 09:30,CONFIRMED,member-03,Confirmed with new flight time,true
assignment-24,leg-60,LEAD_ATTENDANT,2022/06/21 14:20,CONFIRMED,member-03,Awaiting dispatch clearance,false
##Member4 airline00 aircraft01:
#Completed:
assignment-25,leg-35,CO_PILOT,2024/07/15 14:00,CONFIRMED,member-04,,false
assignment-26,leg-36,PILOT,2024/06/25 10:45,CONFIRMED,member-04,Confirmation ok,false
assignment-27,leg-37,CABIN_ATTENDANT,2024/08/02 12:00,CANCELLED,member-04,Flight cancelled due to weather,false
assignment-28,leg-38,LEAD_ATTENDANT,2024/09/15 16:00,CONFIRMED,member-04,On standby,false
#Planned:
assignment-29,leg-49,CO_PILOT,2024/05/10 08:30,CONFIRMED,member-04,,false
assignment-30,leg-50,PILOT,2024/07/12 17:00,PENDING,member-04,Awaiting flight manifest updates,true
assignment-31,leg-51,CABIN_ATTENDANT,2024/05/25 13:30,CONFIRMED,member-04,Standby for reassignment,true
assignment-32,leg-52,LEAD_ATTENDANT,2024/06/18 14:30,PENDING,member-04,Pending final approval,true
##Member5 airline00 aircraft01:
#Completed:
assignment-33,leg-35,LEAD_ATTENDANT,2024/09/22 19:30,CONFIRMED,member-05,,false
assignment-34,leg-38,CABIN_ATTENDANT,2024/10/01 15:00,CONFIRMED,member-05,Flight reassigned to alternate crew,false
assignment-35,leg-37,LEAD_ATTENDANT,2024/12/05 06:00,CONFIRMED,member-05,Confirmed with minor changes to schedule,false
assignment-36,leg-38,LEAD_ATTENDANT,2024/06/30 20:15,CONFIRMED,member-05,Awaiting dispatch clearance,false
#Planned:
#Anyone because he is NOT AVAILABLE
