key,alias,postedAt,subject,text,score,recommended
review-01,John Doe,2024/03/15 10:30,"Positive feedback","This was an excellent experience. The service was top-notch, and the overall atmosphere was great. Highly recommend this place to everyone!",9.5,true
review-02,Jane Smith,2023/11/22 14:00,"Satisfactory experience","The service was good but there were a few minor issues with the timing. Overall, it was a decent experience, and I would consider coming again.",7.0,false
review-03,Mike Johnson,2024/01/05 16:45,"Great product","The product exceeded my expectations. The quality is outstanding, and it works perfectly. I am extremely happy with my purchase.",10.0,true
review-04,Emily Davis,2022/12/10 09:00,"Not satisfied","I had high hopes for this service, but unfortunately, it didn't meet my expectations. The customer service was unhelpful and slow.",4.5,false
review-05,David Lee,2024/02/10 13:15,"Average experience","The experience was average. Some good points but also several areas for improvement. I hope they can address the issues I encountered.",6.5,true
review-06, Luk Huck, 2024/12/22 12:19, "Pleasant surprise","I didn't expect much but the service exceeded my expectations. Staff were attentive and the process was smooth. Will likely use it again.",7.8,true
review-07,Sara Kim,2024/12/23 17:45,"Could be better","The booking process was confusing and I had trouble finding help. The flight itself was fine but overall not the best experience.",5.4,true
review-08,Martin Soto,2024/12/29 09:30,"Highly recommended","Everything went smoothly from start to finish. Great communication easy booking and comfortable flight. Totally recommended.",9.2,true
review-09,Elena Morris,2024/12/30 10:05,"Just okay","Not bad but not great. Basic service. Some delays but staff tried their best. It was acceptable for the price.",6.0,true
review-10,Omar Benali,2024/12/28 15:22,"Terrible service","Delayed unhelpful staff and no clear updates. I felt ignored and frustrated the whole time. Not planning to return.",3.1,false

