key,key:booking,key:passenger
bookingRecord-01,booking-01,passenger-01
bookingRecord-02,booking-01,passenger-02
bookingRecord-03,booking-03,passenger-03
bookingRecord-04,booking-02,passenger-04
bookingRecord-05,booking-04,passenger-05

#BOOKING RECORDS FOR CUSTOMER 1 DASHBOARD
bookingRecord-06,booking-10,passenger-14
bookingRecord-07,booking-11,passenger-15
bookingRecord-08,booking-11,passenger-05
bookingRecord-09,booking-12,passenger-16
bookingRecord-10,booking-12,passenger-01
bookingRecord-11,booking-12,passenger-02
bookingRecord-12,booking-13,passenger-17
bookingRecord-13,booking-14,passenger-18

#BOOKING RECORDS FOR CUSTOMER 2 DASHBOARD
bookingRecord-14,booking-13,passenger-19
bookingRecord-15,booking-14,passenger-20
bookingRecord-16,booking-15,passenger-21
bookingRecord-17,booking-15,passenger-03
bookingRecord-18,booking-15,passenger-04
bookingRecord-19,booking-16,passenger-21
bookingRecord-20,booking-17,passenger-21
bookingRecord-21,booking-18,passenger-22
bookingRecord-22,booking-19,passenger-23
