key,flightNumber,departure,arrival,status,key:departureAirport,key:arrivalAirport,key:flight,key:aircraft
leg-01,IBV0000,2025/01/10 08:00,2025/01/10 10:00,ON_TIME,airport-01,airport-02,flight-01,aircraft-01
leg-02,VYB0001,2025/01/10 12:00,2025/01/10 14:00,DELAYED,airport-02,airport-01,flight-02,aircraft-02
leg-03,IBV3003,2025/01/10 16:00,2025/01/10 18:00,CANCELLED,airport-01,airport-03,flight-02,aircraft-03
leg-04,VYB4004,2025/01/10 20:00,2025/01/10 22:00,ON_TIME,airport-03,airport-04,flight-01,aircraft-04
leg-05,IBV5005,2025/01/10 06:00,2025/01/10 07:30,LANDED,airport-01,airport-02,flight-01,aircraft-01
leg-06,VYB6006,2025/01/10 11:00,2025/01/10 12:45,LANDED,airport-02,airport-03,flight-02,aircraft-02
leg-07,IBV7007,2025/01/10 15:00,2025/01/10 16:15,LANDED,airport-03,airport-04,flight-02,aircraft-03
leg-08,VYB8008,2025/01/10 19:00,2025/01/10 20:30,LANDED,airport-04,airport-01,flight-01,aircraft-04
leg-09,IBV9009,2025/01/10 23:00,2025/01/11 00:40,LANDED,airport-01,airport-02,flight-01,aircraft-01
leg-10,VYB1010,2025/01/11 03:00,2025/01/11 04:20,LANDED,airport-02,airport-03,flight-02,aircraft-02
