key,key:userAccount,identifier,yearsOfExperience,dateOfBirth,pictureUrl,key:airline

# MAIN MANAGERS
manager-01,user-account-manager-01,TJ111111,34,2003/01/29 00:00,http://example.com/pic1.jpg,airline-01
manager-02,user-account-manager-02,PG222222,13,2001/03/08 00:00,http://example.com/pic2.jpg,airline-02
manager-03,user-account-manager-03,CM222222,14,2002/03/08 00:00,http://example.com/pic3.jpg,airline-03


# TEST URL LENGTH
manager-04,user-account-manager-04,AL986123,3,2000/01/01 01:00,https://example.com/images/this-is-a-really-long-image-url-to-test-the-maximum-length-of-a-string-field-which-should-be-255-characters-exactly-including-the-extension-and-domain-name-aaaaaaaaaaaaaaaaaaaaaaa.jpg,airline-04

# TEST NO URL
manager-05,user-account-manager-05,FBL987123,3,2001/03/08 00:00,,airline-05

# TEST BIRTHDAY MAX
manager-06,user-account-manager-06,TS789321,4,2005/11/11 00:00,http://example.com/pic6.jpg,airline-06

# TEST YEARS OF EXPERIENCE
manager-07,user-account-manager-07,ES789222,120,2003/01/01 07:00,http://example.com/pic7.jpg,airline-07

# TEST TWO SURNAMES
manager-08,user-account-manager-08,ULS984678,120,2003/01/01 07:00,http://example.com/pic8.jpg,airline-08

# OTHER
manager-09,user-account-manager-09,ML166117,0,2003/01/01 07:00,http://example.com/pic9.jpg,airline-09
manager-10,user-account-manager-10,AV090909,4,2003/01/01 07:00,http://example.com/pic10.jpg,airline-10
manager-11,user-account-manager-11,VA563489,67,2003/01/01 07:00,http://example.com/pic11.jpg,airline-11
manager-12,user-account-manager-12,FN789222,23,2003/01/01 07:00,http://example.com/pic12.jpg,airline-12
manager-13,user-account-manager-13,JP789222,2,2003/01/01 07:00,,airline-00
manager-14,user-account-manager-14,OS789222,9,2003/01/01 07:00,,airline-00
manager-15,user-account-manager-15,MW454545,24,2003/01/01 07:00,,airline-00
manager-16,user-account-manager-16,XM767889,11,2003/01/01 07:00,,airline-00
manager-17,user-account-manager-17,NS232323,12,2003/01/01 07:00,,airline-00
manager-18,user-account-manager-18,EA444222,19,2003/01/01 07:00,,airline-00




