key,lastUpdate,step,resolutionPercentage,status,resolution,isDraftMode,key:claim
tracking-01,2024/11/15 00:00,No se ha avanzado mucho,20.00,PENDING,null,true,claim-03
tracking-02,2024/11/16 13:30,Por fin hemos acabado,80.00,PENDING,null,true,claim-03
tracking-03,2024/11/20 10:01,Otra vez el nota,100.00,REJECTED,Se le ha mandao al carajo,true,claim-03
tracking-04,2024/06/04 20:30,VavavaBoludo va,50.00,PENDING,null,true,claim-04
tracking-05,2024/06/04 20:55,VavavaBoludo2,75.00,PENDING,null,true,claim-04
tracking-06,2024/07/11 11:10,Primera actualización,25.00,PENDING,null,false,claim-07
tracking-07,2024/12/31 00:00,Investigando,60.00,PENDING,null,true,claim-10
tracking-08,2024/07/12 03:02,Resolución casi completada,80.00,PENDING,null,false,claim-07
tracking-09,2024/05/14 22:21,Revisión inicial,60.00,PENDING,null,true,claim-08
tracking-10,2024/05/06 03:33,Procesando reclamo,60.00,PENDING,null,true,claim-17
tracking-11,2024/12/31 12:00,Procesando reclamo,80.00,PENDING,null,true,claim-10
tracking-12,2024/12/30 01:46,Investigando,33.00,PENDING,null,false,claim-11
tracking-13,2024/12/31 15:00,Procesando reclamo,90.00,PENDING,null,true,claim-10
tracking-14,2024/05/08 17:10,Investigando,100.00,ACCEPTED,Resuelto a favor del cliente,true,claim-17
tracking-15,2024/12/30 04:07,Revisión final,66.00,PENDING,null,false,claim-11
tracking-16,2024/11/15 14:14,Resolución completada,20.00,PENDING,null,true,claim-24
tracking-17,2024/12/31 07:48,Procesando reclamo,100.00,ACCEPTED,Resuelto a favor del cliente,false,claim-11
tracking-18,2024/05/14 23:48,Revisión final,80.00,PENDING,null,true,claim-08
tracking-19,2024/11/16 03:28,Procesando reclamo,40.00,PENDING,null,false,claim-25
tracking-20,2024/12/01 00:00,Primer avance.,15.00,PENDING,null,true,claim-01
tracking-21,2024/08/04 06:32,Procesando reclamo,40.00,PENDING,null,false,claim-09
tracking-22,2024/05/15 17:07,Investigando,90.00,PENDING,null,true,claim-08
tracking-23,2023/12/07 14:06,Resolución completada,80.00,PENDING,null,false,claim-20
tracking-24,2024/05/16 22:47,Resolución completada,95.00,PENDING,null,true,claim-08
tracking-25,2024/07/14 02:13,Resolución completada,100.00,ACCEPTED,La maleta se devolvió al cliente,false,claim-07
tracking-26,2024/05/20 02:20,Procesando reclamo,100.00,REJECTED,Fallo nuestro.,true,claim-08
tracking-27,2024/08/06 12:21,Procesando reclamo,50.00,PENDING,null,true,claim-09
tracking-29,2024/06/22 03:30,Esperando documentos,20.00,PENDING,null,false,claim-28
tracking-30,2024/07/17 17:43,Revisión final,100.00,ACCEPTED,Esta última reclamación resultó de igual manera.,false,claim-07
tracking-31,2024/08/11 11:20,Procesando reclamo,10.00,PENDING,null,false,claim-18
tracking-34,2024/08/06 17:45,Esperando documentos,100.00,ACCEPTED,Cliente no respondió,true,claim-09
tracking-35,2024/06/23 02:06,Resolución completada,50.00,PENDING,null,true,claim-28
tracking-36,2023/12/09 02:40,Investigando,95.00,PENDING,null,true,claim-20
tracking-37,2024/06/16 22:33,Investigando,100.00,REJECTED,Ni un duro le damos.,true,claim-04
tracking-38,2024/06/24 15:01,Investigando,75.00,PENDING,null,false,claim-28
tracking-39,2024/11/17 23:07,Procesando reclamo,20.00,PENDING,null,false,claim-15
tracking-40,2025/01/01 00:00,Resolución completada,100.00,REJECTED,"Ahora sí respondió, pero no se pudo resolver.",true,claim-10
tracking-41,2024/11/19 01:18,Esperando documentos,33.00,PENDING,null,true,claim-16
tracking-42,2024/11/21 19:26,Esperando documentos,77.00,PENDING,null,true,claim-16
tracking-43,2024/11/23 16:58,Investigando,100.00,ACCEPTED,Se aceptó el reembolso. Fue una tarea complicada y difícil debido a la disponibilidad telefónica del cliente.,true,claim-16
tracking-44,2025/01/01 00:00,Revisión final,55.00,PENDING,null,true,claim-25
tracking-45,2024/11/21 10:25,Resolución completada,15.00,PENDING,null,true,claim-19
